German,English
als,as
ICH,I
sein,his
Das,that
Er,he
War,was
für,for
An,on
Sind,are
mit,with
Sie,they
Sei,be
bei,at
eins,one
haben,have
Das,this
aus,from
von,by
heiß,hot
Wort,word
Aber,but
Was,what
manche,some
Ist,is
Es,it
Du,you
oder,or
hatte,had
Die,the
von,of
Zu,to
Und,and
A,a
In,in
Wir,we
dürfen,can
aus,out
andere,other
war,were
welche,which
Tun,do
ihre,their
Zeit,time
Wenn,if
Wille,will
Wie,how
sagte,said
ein,an
jede,each
erzählen,tell
tut,does
Satz,set
drei,three
wollen,want
Luft,air
Also,well
Auch,also
spielen,play
klein,small
Ende,end
setzen,put
heim,home
lesen,read
Hand,hand
Hafen,port
groß,large
Fluch,spell
hinzufügen,add
sogar,even
Land,land
Hier,here
muss,must
groß,big
hoch,high
solch,such
folgen,follow
Akt,act
Warum,why
fragen,ask
Männer,men
ändern,change
ging,went
Licht,light
Art,kind
aus,off
brauchen,need
Haus,house
Bild,picture
versuchen,try
uns,us
wieder,again
Tier,animal
Punkt,point
Mutter,mother
Welt,world
nahe,near
bauen,build
selbst,self
Erde,earth
Vater,father
beliebig,any
neu,new
arbeiten,work
Teil,part
nehmen,take
erhalten,get
Ort,place
gemacht,made
live,live
Wo,where
nach,after
zurück,back
wenig,little
nur,only
runden,round
Mann,man
Jahr,year
kam,came
zeigen,show
jeden,every
Gut,good
Mich,me
geben,give
unser,our
unter,under
Name,name
sehr,very
durch,through
Nur,just
bilden,form
Satz,sentence
Großartig,great
denken,think
sagen,say
helfen,help
niedrig,low
Linie,line
abweichen,differ
drehen,turn
Ursache,cause
viel,much
bedeuten,mean
Vor,before
bewegen,move
Rechts,right
Junge,boy
alt,old
zu,too
Dasselbe,same
sie,she
alle,all
Dort,there
Wann,when
hoch,up
verwenden,use
dein,your
Weg,way
um,about
viele,many
Dann,then
ihnen,them
schreiben,write
würde,would
wie,like
Also,so
diese,these
ihr,her
lang,long
machen,make
Ding,thing
sehen,see
ihn,him
zwei,two
hat,has
sehen,look
mehr,more
Tag,day
könnte,could
gehen,go
kommen,come
tat,did
Nummer,number
Klang,sound
NEIN,no
am meisten,most
Menschen,people
Mein,my
über,over
wissen,know
Wasser,water
als,than
Anruf,call
Erste,first
WHO,who
Mai,may
runter,down
Seite,side
gewesen,been
Jetzt,now
finden,find
Kopf,head
Stand,stand
eigen,own
Seite,page
sollen,should
Land,country
gefunden,found
Antwort,answer
Schule,school
wachsen,grow
Studie,study
Trotzdem,still
lernen,learn
Anlage,plant
Abdeckung,cover
Essen,food
Sonne,sun
vier,four
zwischen,between
Zustand,state
halten,keep
Auge,eye
niemals,never
zuletzt,last
lassen,let
Gedanke,thought
Stadt,city
Baum,tree
kreuzen,cross
Bauernhof,farm
hart,hard
Start,start
könnte,might
Geschichte,story
gesehen,saw
weit,far
Meer,sea
ziehen,draw
links,left
spät,late
laufen,run
während,while
Drücken Sie,press
schließen,close
Nacht,night
real,real
Leben,life
wenige,few
Norden,north
Buch,book
tragen,carry
nahm,took
Wissenschaft,science
essen,eat
Zimmer,room
Freund,friend
begann,began
Idee,idea
Fisch,fish
Berg,mountain
stoppen,stop
einmal,once
Base,base
hören,hear
Pferd,horse
schneiden,cut
Sicher,sure
betrachten,watch
Farbe,color
Gesicht,face
Holz,wood
hauptsächlich,main
offen,open
erscheinen,seem
zusammen,together
nächste,next
Weiß,white
Kinder,children
beginnen,begin
bekommen,got
gehen,walk
Beispiel,example
Leichtigkeit,ease
Papier,paper
Gruppe,group
stets,always
Musik,music
diese,those
beide,both
markieren,mark
oft,often
Brief,letter
bis,until
Meile,mile
Fluss,river
Auto,car
Füße,feet
Pflege,care
zweite,second
genug,enough
schmucklos,plain
Mädchen,girl
üblich,usual
jung,young
bereit,ready
über,above
immer,ever
Rot,red
Liste,list
obwohl,though
fühlen,feel
sprechen,talk
Vogel,bird
bald,soon
Körper,body
Hund,dog
Familie,family
Direkte,direct
Pose,pose
verlassen,leave
Lied,song
messen,measure
Tür,door
Produkt,product
Schwarz,black
kurz,short
Ziffer,numeral
Klasse,class
Wind,wind
Frage,question
passieren,happen
vollständig,complete
Schiff,ship
Bereich,area
Hälfte,half
Felsen,rock
Befehl,order
Feuer,fire
Süd,south
Problem,problem
Stück,piece
erzählt,told
wusste,knew
passieren,pass
seit,since
Spitze,top
ganz,whole
König,king
Straße,street
Zoll,inch
multiplizieren,multiply
Nichts,nothing
Kurs,course
bleiben,stay
Rad,wheel
voll,full
Gewalt,force
Blau,blue
Objekt,object
entscheiden,decide
Oberfläche,surface
tief,deep
Mond,moon
Insel,island
Fuß,foot
System,system
beschäftigt,busy
prüfen,test
aufzeichnen,record
Boot,boat
gemeinsam,common
Gold,gold
möglich,possible
Flugzeug,plane
Statt,stead
trocken,dry
Wunder,wonder
lachen,laugh
tausend,thousand
vor,ago
rannte,ran
überprüfen,check
Spiel,game
Form,shape
gleich,equate
heiß,hot
vermissen,miss
gebracht,brought
Hitze,heat
Schnee,snow
Reifen,tire
bringen,bring
Ja,yes
entfernt,distant
füllen,fill
Ost,east
malen,paint
Sprache,language
unter,among
Einheit,unit
Leistung,power
Stadt,town
Bußgeld,fine
bestimmt,certain
Fliege,fly
fallen,fall
führen,lead
weinen,cry
dunkel,dark
Maschine,machine
Notiz,note
